Date,Name,Country,State,Legal,Note
2026-11-22,Totensonntag,DE,ALL,false,
2026-11-29,1. Advent,DE,ALL,false,
2026-12-04,Barbaratag,DE,ALL,false,
2026-12-06,Nikolaus,DE,ALL,false,
2026-12-06,2. Advent,DE,ALL,false,
2026-12-13,3. Advent,DE,ALL,false,
2026-12-20,4. Advent,DE,ALL,false,
2026-12-24,Heiligabend,DE,ALL,false,
2026-12-25,1. Weihnachtstag,DE,ALL,true,
2026-12-26,2. Weihnachtstag,DE,ALL,true,
2026-12-31,Silvester,DE,ALL,false,
2027-01-01,Neujahr,DE,ALL,true,
2027-01-06,Heilige Drei Könige,DE,BW|BY|ST,false,
2027-02-02,Mariä Lichtmess,DE,ALL,false,
2027-02-04,Weiberfastnacht,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2027-02-06,Fastnachtssamstag,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2027-02-07,Fastnachtssonntag,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2027-02-08,Rosenmontag,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2027-02-09,Fastnacht,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2027-02-10,Aschermittwoch,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2027-02-14,Valentinstag,DE,ALL,false,
2027-03-08,Internationaler Frauentag,DE,BE|MV,false,
2027-03-19,Josefstag,DE,BY,false,
2027-03-21,Palmsonntag,DE,ALL,false,
2027-03-25,Gründonnerstag,DE,ALL,false,
2027-03-26,Karfreitag,DE,ALL,true,
2027-03-27,Karsamstag,DE,ALL,false,
2027-03-28,Ostersonntag,DE,BB,false,
2027-03-29,Ostermontag,DE,ALL,true,
2027-04-30,Walpurgisnacht,DE,ALL,false,
2027-05-01,Tag der Arbeit,DE,ALL,true,
2027-05-06,Vatertag,DE,ALL,false,
2027-05-06,Christi Himmelfahrt,DE,ALL,true,
2027-05-09,Muttertag,DE,ALL,false,
2027-05-16,Pfingstsonntag,DE,BB,false,
2027-05-17,Pfingstmontag,DE,ALL,true,
2027-05-27,Fronleichnam,DE,BW|BY|HE|NW|RP|SL,true,
2027-06-17,Aufstand des 17. Juni,DE,ALL,false,
2027-06-24,Johannistag,DE,ALL,false,
2027-06-29,Peter und Paul,DE,ALL,false,
2027-08-08,Augsburger Friedensfest,DE,BY,true,
2027-08-15,Mariä Himmelfahrt,DE,BY|SL,true,
2027-09-20,Weltkindertag,DE,TH,true,
2027-10-03,Tag der Deutschen Einheit,DE,ALL,true,
2027-10-03,Erntedankfest,DE,ALL,false,
2027-10-31,Halloween,DE,ALL,false,
2027-10-31,Reformationstag,DE,BB|HB|HH|MV|NI|SN|ST|SH|TH,true,
2027-11-01,Allerheiligen,DE,BW|BY|NW|RP|SL,true,
2027-11-02,Allerseelen,DE,ALL,false,
2027-11-11,Martinstag,DE,ALL,false,
2027-11-14,Volkstrauertag,DE,ALL,false,
2027-11-17,Buß- und Bettag,DE,SN,true,
2027-11-21,Totensonntag,DE,ALL,false,
2027-11-28,1. Advent,DE,ALL,false,
2027-12-04,Barbaratag,DE,ALL,false,
2027-12-05,2. Advent,DE,ALL,false,
2027-12-06,Nikolaus,DE,ALL,false,
2027-12-12,3. Advent,DE,ALL,false,
2027-12-19,4. Advent,DE,ALL,false,
2027-12-24,Heiligabend,DE,ALL,false,
2027-12-25,1. Weihnachtstag,DE,ALL,true,
2027-12-26,2. Weihnachtstag,DE,ALL,true,
2027-12-31,Silvester,DE,ALL,false,
